timestamp,rpic,asmfish_1,asmfish_2,asmfish_3,asmfish_4,asmfish_5,sysbench_cpu,voltage_1,power_factor_1,active_power_1,current_1,voltage_2,power_factor_2,active_power_2,current_2,voltage_3,power_factor_3,active_power_3,current_3,voltage_4,power_factor_4,active_power_4,current_4,voltage_5,power_factor_5,active_power_5,current_5,voltage_6,power_factor_6,active_power_6,current_6
1633545549.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.1,0.783,52.0,0.29,229.61,0.785,54.0,0.299,230.24,0.841,28.0,0.148,229.21,0.843,29.0,0.149,230.03,0.846,28.0,0.146,229.27,0.761,27.0,0.157
1633545550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.1,0.783,52.0,0.29,229.61,0.785,54.0,0.299,230.24,0.841,28.0,0.148,229.21,0.843,29.0,0.149,230.03,0.846,28.0,0.146,229.27,0.761,27.0,0.157
1633545552.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.1,0.783,52.0,0.29,229.61,0.785,54.0,0.299,230.24,0.841,28.0,0.148,229.21,0.843,29.0,0.149,230.03,0.846,28.0,0.146,229.27,0.761,27.0,0.157
1633545553.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.36,0.783,52.0,0.292,229.69,0.782,55.0,0.304,230.4,0.84,28.0,0.147,229.51,0.84,29.0,0.149,230.3,0.837,27.0,0.144,229.48,0.759,27.0,0.155
1633545554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.36,0.783,52.0,0.292,229.69,0.782,55.0,0.304,230.4,0.84,28.0,0.147,229.51,0.84,29.0,0.149,230.3,0.837,27.0,0.144,229.48,0.759,27.0,0.155
1633545556.0,0.0,302.94,0.0,0.0,0.0,0.0,0.0,230.36,0.783,52.0,0.292,229.69,0.782,55.0,0.304,230.4,0.84,28.0,0.147,229.51,0.84,29.0,0.149,230.3,0.837,27.0,0.144,229.48,0.759,27.0,0.155
1633545557.0,0.0,391.18,0.0,0.0,0.0,0.0,0.0,230.36,0.783,52.0,0.292,229.69,0.782,55.0,0.304,230.4,0.84,28.0,0.147,229.51,0.84,29.0,0.149,230.3,0.837,27.0,0.144,229.48,0.759,27.0,0.155
1633545559.0,0.0,406.06,0.0,0.0,0.0,0.0,0.0,230.36,0.783,52.0,0.292,229.69,0.782,55.0,0.304,230.4,0.84,28.0,0.147,229.51,0.84,29.0,0.149,230.3,0.837,27.0,0.144,229.48,0.759,27.0,0.155
1633545560.0,0.0,391.18,0.0,0.0,0.0,0.0,0.0,230.36,0.783,52.0,0.292,229.69,0.782,55.0,0.304,230.4,0.84,28.0,0.147,229.51,0.84,29.0,0.149,230.3,0.837,27.0,0.144,229.48,0.759,27.0,0.155
1633545562.0,0.0,394.12,0.0,0.0,0.0,0.0,0.0,230.36,0.783,52.0,0.292,229.69,0.782,55.0,0.304,230.4,0.84,28.0,0.147,229.51,0.84,29.0,0.149,230.3,0.837,27.0,0.144,229.48,0.759,27.0,0.155
1633545563.0,0.0,402.94,0.0,0.0,0.0,0.0,0.0,230.36,0.783,52.0,0.292,229.69,0.782,55.0,0.304,230.4,0.84,28.0,0.147,229.51,0.84,29.0,0.149,230.3,0.837,27.0,0.144,229.48,0.759,27.0,0.155
1633545565.0,0.0,406.06,0.0,0.0,0.0,0.0,0.0,230.36,0.783,52.0,0.292,229.69,0.782,55.0,0.304,230.4,0.84,28.0,0.147,229.51,0.84,29.0,0.149,230.3,0.837,27.0,0.144,229.48,0.759,27.0,0.155
1633545566.0,0.0,406.06,0.0,0.0,0.0,0.0,0.0,230.36,0.783,52.0,0.292,229.69,0.782,55.0,0.304,230.4,0.84,28.0,0.147,229.51,0.84,29.0,0.149,230.3,0.837,27.0,0.144,229.48,0.759,27.0,0.155
1633545568.0,0.0,403.03,0.0,0.0,0.0,0.0,0.0,230.53,0.783,52.0,0.292,229.54,0.781,56.0,0.307,230.38,0.794,52.0,0.285,229.56,0.842,29.0,0.149,230.44,0.837,27.0,0.144,229.58,0.761,27.0,0.155
1633545569.0,0.0,403.03,0.0,0.0,0.0,0.0,0.0,230.53,0.783,52.0,0.292,229.54,0.781,56.0,0.307,230.38,0.794,52.0,0.285,229.56,0.842,29.0,0.149,230.44,0.837,27.0,0.144,229.58,0.761,27.0,0.155
1633545571.0,0.0,402.94,0.0,0.0,0.0,0.0,0.0,230.53,0.783,52.0,0.292,229.54,0.781,56.0,0.307,230.38,0.794,52.0,0.285,229.56,0.842,29.0,0.149,230.44,0.837,27.0,0.144,229.58,0.761,27.0,0.155
1633545572.0,0.0,403.03,0.0,0.0,0.0,0.0,0.0,230.53,0.783,52.0,0.292,229.54,0.781,56.0,0.307,230.38,0.794,52.0,0.285,229.56,0.842,29.0,0.149,230.44,0.837,27.0,0.144,229.58,0.761,27.0,0.155
1633545574.0,0.0,394.12,0.0,0.0,0.0,0.0,0.0,230.53,0.783,52.0,0.292,229.54,0.781,56.0,0.307,230.38,0.794,52.0,0.285,229.56,0.842,29.0,0.149,230.44,0.837,27.0,0.144,229.58,0.761,27.0,0.155
1633545576.0,0.0,394.12,0.0,0.0,0.0,0.0,0.0,230.53,0.783,52.0,0.292,229.54,0.781,56.0,0.307,230.38,0.794,52.0,0.285,229.56,0.842,29.0,0.149,230.44,0.837,27.0,0.144,229.58,0.761,27.0,0.155
