<<<<<<< Updated upstream
version https://git-lfs.github.com/spec/v1
oid sha256:6532277dec3222c225dcb4dada403c8eba5ff1b5e01f34291ee06f07f356c405
size 1786500
=======
timestamp,rpic,asmfish_1,asmfish_2,asmfish_3,asmfish_4,asmfish_5,sysbench_cpu,voltage_1,power_factor_1,active_power_1,current_1,voltage_2,power_factor_2,active_power_2,current_2,voltage_3,power_factor_3,active_power_3,current_3,voltage_4,power_factor_4,active_power_4,current_4,voltage_5,power_factor_5,active_power_5,current_5,voltage_6,power_factor_6,active_power_6,current_6
1633437933.0,0.0,0.0,0.0,0.0,0.0,0.0,0,229.37,0.845,40.0,0.209,228.56,0.845,43.0,0.219,229.35,0.852,28.0,0.146,228.48,0.858,29.0,0.147,229.37,0.851,28.0,0.144,228.44,0.758,26.0,0.155
1633437934.0,0.0,0.0,0.0,0.0,0.0,0.0,0,229.37,0.845,40.0,0.209,228.56,0.845,43.0,0.219,229.35,0.852,28.0,0.146,228.48,0.858,29.0,0.147,229.37,0.851,28.0,0.144,228.44,0.758,26.0,0.155
1633437936.0,0.0,0.0,0.0,0.0,0.0,0.0,0,229.37,0.845,40.0,0.209,228.56,0.845,43.0,0.219,229.35,0.852,28.0,0.146,228.48,0.858,29.0,0.147,229.37,0.851,28.0,0.144,228.44,0.758,26.0,0.155
1633437936.0,0.0,0.0,0.0,0.0,0.0,0.0,0,229.37,0.845,40.0,0.209,228.56,0.845,43.0,0.219,229.35,0.852,28.0,0.146,228.48,0.858,29.0,0.147,229.37,0.851,28.0,0.144,228.44,0.758,26.0,0.155
1633437957.0,0.0,0.0,0.0,0.0,0.0,0.0,0,229.36,0.846,40.0,0.209,228.63,0.846,43.0,0.22,229.4,0.849,28.0,0.146,228.47,0.857,30.0,0.148,229.5,0.851,28.0,0.145,228.57,0.759,26.0,0.154
1633437977.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.39,0.845,40.0,0.208,228.43,0.844,44.0,0.223,229.56,0.852,28.0,0.146,228.46,0.858,30.0,0.148,229.5,0.854,28.0,0.145,228.58,0.758,26.0,0.154
1633437978.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.39,0.845,40.0,0.208,228.43,0.844,44.0,0.223,229.56,0.852,28.0,0.146,228.46,0.858,30.0,0.148,229.5,0.854,28.0,0.145,228.58,0.758,26.0,0.154
1633437980.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.39,0.845,40.0,0.208,228.43,0.844,44.0,0.223,229.56,0.852,28.0,0.146,228.46,0.858,30.0,0.148,229.5,0.854,28.0,0.145,228.58,0.758,26.0,0.154
1633437981.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.39,0.845,40.0,0.208,228.43,0.844,44.0,0.223,229.56,0.852,28.0,0.146,228.46,0.858,30.0,0.148,229.5,0.854,28.0,0.145,228.58,0.758,26.0,0.154
1633437982.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.39,0.845,40.0,0.208,228.43,0.844,44.0,0.223,229.56,0.852,28.0,0.146,228.46,0.858,30.0,0.148,229.5,0.854,28.0,0.145,228.58,0.758,26.0,0.154
