<<<<<<< Updated upstream
version https://git-lfs.github.com/spec/v1
oid sha256:69db86f49c5c1d4caa74b06f21afd588df304b2fc8fb955f83e60f7a3df6678e
size 1786730
=======
timestamp,rpic,asmfish_1,asmfish_2,asmfish_3,asmfish_4,asmfish_5,sysbench_cpu,voltage_1,power_factor_1,active_power_1,current_1,voltage_2,power_factor_2,active_power_2,current_2,voltage_3,power_factor_3,active_power_3,current_3,voltage_4,power_factor_4,active_power_4,current_4,voltage_5,power_factor_5,active_power_5,current_5,voltage_6,power_factor_6,active_power_6,current_6
1633437968.0,0.0,0.0,0.0,0.0,0.0,0.0,0,229.45,0.847,40.0,0.208,228.57,0.846,43.0,0.222,229.47,0.851,28.0,0.147,228.72,0.858,29.0,0.147,229.48,0.854,28.0,0.145,228.66,0.759,26.0,0.155
1633437970.0,0.0,0.0,0.0,0.0,0.0,0.0,0,229.45,0.847,40.0,0.208,228.57,0.846,43.0,0.222,229.47,0.851,28.0,0.147,228.72,0.858,29.0,0.147,229.48,0.854,28.0,0.145,228.66,0.759,26.0,0.155
1633437971.0,0.0,0.0,0.0,0.0,0.0,0.0,0,229.45,0.847,40.0,0.208,228.57,0.846,43.0,0.222,229.47,0.851,28.0,0.147,228.72,0.858,29.0,0.147,229.48,0.854,28.0,0.145,228.66,0.759,26.0,0.155
1633437972.0,0.0,0.0,0.0,0.0,0.0,0.0,0,229.45,0.847,40.0,0.208,228.57,0.846,43.0,0.222,229.47,0.851,28.0,0.147,228.72,0.858,29.0,0.147,229.48,0.854,28.0,0.145,228.66,0.759,26.0,0.155
1633437992.0,0.0,0.0,0.0,0.0,0.0,0.0,0,229.25,0.845,41.0,0.213,228.36,0.844,44.0,0.226,229.36,0.846,39.0,0.205,228.44,0.857,29.0,0.148,229.36,0.853,28.0,0.144,228.45,0.759,26.0,0.154
1633438012.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.27,0.845,40.0,0.207,228.52,0.843,44.0,0.226,229.25,0.842,40.0,0.207,228.4,0.855,29.0,0.148,229.27,0.843,27.0,0.144,228.47,0.757,26.0,0.154
1633438014.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.27,0.845,40.0,0.207,228.52,0.843,44.0,0.226,229.25,0.842,40.0,0.207,228.4,0.855,29.0,0.148,229.27,0.843,27.0,0.144,228.47,0.757,26.0,0.154
1633438015.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.27,0.845,40.0,0.207,228.52,0.843,44.0,0.226,229.25,0.842,40.0,0.207,228.4,0.855,29.0,0.148,229.27,0.843,27.0,0.144,228.47,0.757,26.0,0.154
1633438016.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.27,0.845,40.0,0.207,228.52,0.843,44.0,0.226,229.25,0.842,40.0,0.207,228.4,0.855,29.0,0.148,229.27,0.843,27.0,0.144,228.47,0.757,26.0,0.154
1633438018.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.27,0.845,40.0,0.207,228.52,0.843,44.0,0.226,229.25,0.842,40.0,0.207,228.4,0.855,29.0,0.148,229.27,0.843,27.0,0.144,228.47,0.757,26.0,0.154
1633438019.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.37,0.845,40.0,0.207,228.75,0.841,44.0,0.226,229.4,0.845,40.0,0.206,228.57,0.845,41.0,0.212,229.46,0.85,28.0,0.145,228.53,0.756,26.0,0.155
1633438021.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.37,0.845,40.0,0.207,228.75,0.841,44.0,0.226,229.4,0.845,40.0,0.206,228.57,0.845,41.0,0.212,229.46,0.85,28.0,0.145,228.53,0.756,26.0,0.155
1633438022.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.37,0.845,40.0,0.207,228.75,0.841,44.0,0.226,229.4,0.845,40.0,0.206,228.57,0.845,41.0,0.212,229.46,0.85,28.0,0.145,228.53,0.756,26.0,0.155
1633438023.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.37,0.845,40.0,0.207,228.75,0.841,44.0,0.226,229.4,0.845,40.0,0.206,228.57,0.845,41.0,0.212,229.46,0.85,28.0,0.145,228.53,0.756,26.0,0.155
1633438025.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.37,0.845,40.0,0.207,228.75,0.841,44.0,0.226,229.4,0.845,40.0,0.206,228.57,0.845,41.0,0.212,229.46,0.85,28.0,0.145,228.53,0.756,26.0,0.155
1633438026.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.37,0.845,40.0,0.207,228.75,0.841,44.0,0.226,229.4,0.845,40.0,0.206,228.57,0.845,41.0,0.212,229.46,0.85,28.0,0.145,228.53,0.756,26.0,0.155
1633438027.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.37,0.845,40.0,0.207,228.75,0.841,44.0,0.226,229.4,0.845,40.0,0.206,228.57,0.845,41.0,0.212,229.46,0.85,28.0,0.145,228.53,0.756,26.0,0.155
1633438029.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.37,0.845,40.0,0.207,228.75,0.841,44.0,0.226,229.4,0.845,40.0,0.206,228.57,0.845,41.0,0.212,229.46,0.85,28.0,0.145,228.53,0.756,26.0,0.155
1633438030.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.37,0.845,40.0,0.207,228.75,0.841,44.0,0.226,229.4,0.845,40.0,0.206,228.57,0.845,41.0,0.212,229.46,0.85,28.0,0.145,228.53,0.756,26.0,0.155
1633438032.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.37,0.845,40.0,0.207,228.75,0.841,44.0,0.226,229.4,0.845,40.0,0.206,228.57,0.845,41.0,0.212,229.46,0.85,28.0,0.145,228.53,0.756,26.0,0.155
1633438033.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.37,0.845,40.0,0.207,228.75,0.841,44.0,0.226,229.4,0.845,40.0,0.206,228.57,0.845,41.0,0.212,229.46,0.85,28.0,0.145,228.53,0.756,26.0,0.155
1633438034.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.67,0.843,40.0,0.21,228.9,0.841,44.0,0.226,229.5,0.843,40.0,0.207,228.68,0.844,42.0,0.214,229.77,0.854,28.0,0.146,228.93,0.757,26.0,0.154
1633438036.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.67,0.843,40.0,0.21,228.9,0.841,44.0,0.226,229.5,0.843,40.0,0.207,228.68,0.844,42.0,0.214,229.77,0.854,28.0,0.146,228.93,0.757,26.0,0.154
1633438037.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.67,0.843,40.0,0.21,228.9,0.841,44.0,0.226,229.5,0.843,40.0,0.207,228.68,0.844,42.0,0.214,229.77,0.854,28.0,0.146,228.93,0.757,26.0,0.154
1633438038.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.67,0.843,40.0,0.21,228.9,0.841,44.0,0.226,229.5,0.843,40.0,0.207,228.68,0.844,42.0,0.214,229.77,0.854,28.0,0.146,228.93,0.757,26.0,0.154
1633438040.0,103.03,0.0,0.0,0.0,0.0,0.0,0,229.67,0.843,40.0,0.21,228.9,0.841,44.0,0.226,229.5,0.843,40.0,0.207,228.68,0.844,42.0,0.214,229.77,0.854,28.0,0.146,228.93,0.757,26.0,0.154
1633438041.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.67,0.843,40.0,0.21,228.9,0.841,44.0,0.226,229.5,0.843,40.0,0.207,228.68,0.844,42.0,0.214,229.77,0.854,28.0,0.146,228.93,0.757,26.0,0.154
1633438043.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.67,0.843,40.0,0.21,228.9,0.841,44.0,0.226,229.5,0.843,40.0,0.207,228.68,0.844,42.0,0.214,229.77,0.854,28.0,0.146,228.93,0.757,26.0,0.154
1633438044.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.67,0.843,40.0,0.21,228.9,0.841,44.0,0.226,229.5,0.843,40.0,0.207,228.68,0.844,42.0,0.214,229.77,0.854,28.0,0.146,228.93,0.757,26.0,0.154
1633438045.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.67,0.843,40.0,0.21,228.9,0.841,44.0,0.226,229.5,0.843,40.0,0.207,228.68,0.844,42.0,0.214,229.77,0.854,28.0,0.146,228.93,0.757,26.0,0.154
1633438047.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.67,0.843,40.0,0.21,228.9,0.841,44.0,0.226,229.5,0.843,40.0,0.207,228.68,0.844,42.0,0.214,229.77,0.854,28.0,0.146,228.93,0.757,26.0,0.154
1633438048.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.67,0.843,40.0,0.21,228.9,0.841,44.0,0.226,229.5,0.843,40.0,0.207,228.68,0.844,42.0,0.214,229.77,0.854,28.0,0.146,228.93,0.757,26.0,0.154
1633438049.0,97.06,0.0,0.0,0.0,0.0,0.0,0,230.03,0.843,40.0,0.208,229.08,0.842,44.0,0.225,229.8,0.841,40.0,0.207,228.9,0.841,42.0,0.214,229.9,0.846,28.0,0.144,228.98,0.756,26.0,0.155
1633438051.0,100.0,0.0,0.0,0.0,0.0,0.0,0,230.03,0.843,40.0,0.208,229.08,0.842,44.0,0.225,229.8,0.841,40.0,0.207,228.9,0.841,42.0,0.214,229.9,0.846,28.0,0.144,228.98,0.756,26.0,0.155
1633438052.0,100.0,0.0,0.0,0.0,0.0,0.0,0,230.03,0.843,40.0,0.208,229.08,0.842,44.0,0.225,229.8,0.841,40.0,0.207,228.9,0.841,42.0,0.214,229.9,0.846,28.0,0.144,228.98,0.756,26.0,0.155
1633438053.0,97.06,0.0,0.0,0.0,0.0,0.0,0,230.03,0.843,40.0,0.208,229.08,0.842,44.0,0.225,229.8,0.841,40.0,0.207,228.9,0.841,42.0,0.214,229.9,0.846,28.0,0.144,228.98,0.756,26.0,0.155
1633438055.0,97.06,0.0,0.0,0.0,0.0,0.0,0,230.03,0.843,40.0,0.208,229.08,0.842,44.0,0.225,229.8,0.841,40.0,0.207,228.9,0.841,42.0,0.214,229.9,0.846,28.0,0.144,228.98,0.756,26.0,0.155
1633438056.0,100.0,0.0,0.0,0.0,0.0,0.0,0,230.03,0.843,40.0,0.208,229.08,0.842,44.0,0.225,229.8,0.841,40.0,0.207,228.9,0.841,42.0,0.214,229.9,0.846,28.0,0.144,228.98,0.756,26.0,0.155
1633438058.0,97.06,0.0,0.0,0.0,0.0,0.0,0,230.03,0.843,40.0,0.208,229.08,0.842,44.0,0.225,229.8,0.841,40.0,0.207,228.9,0.841,42.0,0.214,229.9,0.846,28.0,0.144,228.98,0.756,26.0,0.155
1633438059.0,100.0,0.0,0.0,0.0,0.0,0.0,0,230.03,0.843,40.0,0.208,229.08,0.842,44.0,0.225,229.8,0.841,40.0,0.207,228.9,0.841,42.0,0.214,229.9,0.846,28.0,0.144,228.98,0.756,26.0,0.155
1633438060.0,100.0,0.0,0.0,0.0,0.0,0.0,0,230.03,0.843,40.0,0.208,229.08,0.842,44.0,0.225,229.8,0.841,40.0,0.207,228.9,0.841,42.0,0.214,229.9,0.846,28.0,0.144,228.98,0.756,26.0,0.155
1633438062.0,100.0,0.0,0.0,0.0,0.0,0.0,0,230.03,0.843,40.0,0.208,229.08,0.842,44.0,0.225,229.8,0.841,40.0,0.207,228.9,0.841,42.0,0.214,229.9,0.846,28.0,0.144,228.98,0.756,26.0,0.155
1633438063.0,97.06,0.0,0.0,0.0,0.0,0.0,0,230.03,0.843,40.0,0.208,229.08,0.842,44.0,0.225,229.8,0.841,40.0,0.207,228.9,0.841,42.0,0.214,229.9,0.846,28.0,0.144,228.98,0.756,26.0,0.155
1633438064.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.89,0.842,40.0,0.208,229.12,0.842,44.0,0.225,230.07,0.843,40.0,0.206,229.02,0.843,42.0,0.215,229.87,0.849,28.0,0.144,229.03,0.757,26.0,0.153
1633438066.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.89,0.842,40.0,0.208,229.12,0.842,44.0,0.225,230.07,0.843,40.0,0.206,229.02,0.843,42.0,0.215,229.87,0.849,28.0,0.144,229.03,0.757,26.0,0.153
1633438067.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.89,0.842,40.0,0.208,229.12,0.842,44.0,0.225,230.07,0.843,40.0,0.206,229.02,0.843,42.0,0.215,229.87,0.849,28.0,0.144,229.03,0.757,26.0,0.153
1633438069.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.89,0.842,40.0,0.208,229.12,0.842,44.0,0.225,230.07,0.843,40.0,0.206,229.02,0.843,42.0,0.215,229.87,0.849,28.0,0.144,229.03,0.757,26.0,0.153
1633438070.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.89,0.842,40.0,0.208,229.12,0.842,44.0,0.225,230.07,0.843,40.0,0.206,229.02,0.843,42.0,0.215,229.87,0.849,28.0,0.144,229.03,0.757,26.0,0.153
1633438071.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.89,0.842,40.0,0.208,229.12,0.842,44.0,0.225,230.07,0.843,40.0,0.206,229.02,0.843,42.0,0.215,229.87,0.849,28.0,0.144,229.03,0.757,26.0,0.153
1633438073.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.89,0.842,40.0,0.208,229.12,0.842,44.0,0.225,230.07,0.843,40.0,0.206,229.02,0.843,42.0,0.215,229.87,0.849,28.0,0.144,229.03,0.757,26.0,0.153
1633438074.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.89,0.842,40.0,0.208,229.12,0.842,44.0,0.225,230.07,0.843,40.0,0.206,229.02,0.843,42.0,0.215,229.87,0.849,28.0,0.144,229.03,0.757,26.0,0.153
1633438075.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.89,0.842,40.0,0.208,229.12,0.842,44.0,0.225,230.07,0.843,40.0,0.206,229.02,0.843,42.0,0.215,229.87,0.849,28.0,0.144,229.03,0.757,26.0,0.153
1633438077.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.89,0.842,40.0,0.208,229.12,0.842,44.0,0.225,230.07,0.843,40.0,0.206,229.02,0.843,42.0,0.215,229.87,0.849,28.0,0.144,229.03,0.757,26.0,0.153
1633438078.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.89,0.842,40.0,0.208,229.12,0.842,44.0,0.225,230.07,0.843,40.0,0.206,229.02,0.843,42.0,0.215,229.87,0.849,28.0,0.144,229.03,0.757,26.0,0.153
1633438079.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.95,0.844,40.0,0.208,229.08,0.841,44.0,0.226,229.94,0.842,40.0,0.209,229.14,0.841,42.0,0.216,229.8,0.85,28.0,0.144,229.26,0.756,26.0,0.155
