<<<<<<< Updated upstream
version https://git-lfs.github.com/spec/v1
oid sha256:529ef2100c93d280da6d612a452186318d4e8ab71c7e34c25e884d22b30e8924
size 1419466
=======
timestamp,rpic,asmfish_1,asmfish_2,asmfish_3,asmfish_4,asmfish_5,sysbench_cpu,voltage_1,power_factor_1,active_power_1,current_1,voltage_2,power_factor_2,active_power_2,current_2,voltage_3,power_factor_3,active_power_3,current_3,voltage_4,power_factor_4,active_power_4,current_4,voltage_5,power_factor_5,active_power_5,current_5,voltage_6,power_factor_6,active_power_6,current_6
1633633467.0,0.0,0.0,0.0,0.0,0.0,0.0,0,229.91,0.838,29.0,0.151,228.95,0.842,30.0,0.155,229.88,0.837,29.0,0.153,229.09,0.839,30.0,0.155,229.94,0.843,28.0,0.148,229.13,0.751,27.0,0.157
1633633469.0,0.0,0.0,0.0,0.0,0.0,0.0,0,229.91,0.838,29.0,0.151,228.95,0.842,30.0,0.155,229.88,0.837,29.0,0.153,229.09,0.839,30.0,0.155,229.94,0.843,28.0,0.148,229.13,0.751,27.0,0.157
1633633470.0,0.0,0.0,0.0,0.0,0.0,0.0,0,229.94,0.84,29.0,0.15,229.02,0.842,31.0,0.156,229.86,0.835,29.0,0.152,229.02,0.836,30.0,0.155,229.91,0.84,28.0,0.148,228.95,0.754,27.0,0.157
1633633471.0,0.0,0.0,0.0,0.0,0.0,0.0,0,229.94,0.84,29.0,0.15,229.02,0.842,31.0,0.156,229.86,0.835,29.0,0.152,229.02,0.836,30.0,0.155,229.91,0.84,28.0,0.148,228.95,0.754,27.0,0.157
1633633491.0,0.0,0.0,0.0,0.0,0.0,0.0,0,230.05,0.837,28.0,0.15,229.05,0.842,30.0,0.155,229.95,0.837,29.0,0.152,229.17,0.835,30.0,0.156,230.03,0.837,28.0,0.148,229.1,0.749,26.0,0.157
1633633811.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.89,0.836,29.0,0.151,229.17,0.841,30.0,0.154,229.78,0.836,29.0,0.153,228.94,0.821,44.0,0.23,229.64,0.839,28.0,0.148,229.2,0.826,47.0,0.251
1633633813.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.89,0.836,29.0,0.151,229.17,0.841,30.0,0.154,229.78,0.836,29.0,0.153,228.94,0.821,44.0,0.23,229.64,0.839,28.0,0.148,229.2,0.826,47.0,0.251
1633633814.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.89,0.836,29.0,0.151,229.17,0.841,30.0,0.154,229.78,0.836,29.0,0.153,228.94,0.821,44.0,0.23,229.64,0.839,28.0,0.148,229.2,0.826,47.0,0.251
1633633815.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.97,0.839,29.0,0.15,229.01,0.843,30.0,0.155,229.85,0.825,41.0,0.22,229.09,0.821,44.0,0.23,229.62,0.838,28.0,0.148,229.08,0.823,47.0,0.253
1633633817.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.97,0.839,29.0,0.15,229.01,0.843,30.0,0.155,229.85,0.825,41.0,0.22,229.09,0.821,44.0,0.23,229.62,0.838,28.0,0.148,229.08,0.823,47.0,0.253
1633633818.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.97,0.839,29.0,0.15,229.01,0.843,30.0,0.155,229.85,0.825,41.0,0.22,229.09,0.821,44.0,0.23,229.62,0.838,28.0,0.148,229.08,0.823,47.0,0.253
1633633819.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.97,0.839,29.0,0.15,229.01,0.843,30.0,0.155,229.85,0.825,41.0,0.22,229.09,0.821,44.0,0.23,229.62,0.838,28.0,0.148,229.08,0.823,47.0,0.253
1633633821.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.97,0.839,29.0,0.15,229.01,0.843,30.0,0.155,229.85,0.825,41.0,0.22,229.09,0.821,44.0,0.23,229.62,0.838,28.0,0.148,229.08,0.823,47.0,0.253
1633633822.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.97,0.839,29.0,0.15,229.01,0.843,30.0,0.155,229.85,0.825,41.0,0.22,229.09,0.821,44.0,0.23,229.62,0.838,28.0,0.148,229.08,0.823,47.0,0.253
1633633824.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.97,0.839,29.0,0.15,229.01,0.843,30.0,0.155,229.85,0.825,41.0,0.22,229.09,0.821,44.0,0.23,229.62,0.838,28.0,0.148,229.08,0.823,47.0,0.253
1633633825.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.97,0.839,29.0,0.15,229.01,0.843,30.0,0.155,229.85,0.825,41.0,0.22,229.09,0.821,44.0,0.23,229.62,0.838,28.0,0.148,229.08,0.823,47.0,0.253
1633633826.0,100.0,0.0,0.0,0.0,0.0,0.0,0,229.97,0.839,29.0,0.15,229.01,0.843,30.0,0.155,229.85,0.825,41.0,0.22,229.09,0.821,44.0,0.23,229.62,0.838,28.0,0.148,229.08,0.823,47.0,0.253
1633633828.0,97.06,0.0,0.0,0.0,0.0,0.0,0,229.97,0.839,29.0,0.15,229.01,0.843,30.0,0.155,229.85,0.825,41.0,0.22,229.09,0.821,44.0,0.23,229.62,0.838,28.0,0.148,229.08,0.823,47.0,0.253
