<<<<<<< Updated upstream
version https://git-lfs.github.com/spec/v1
oid sha256:b55c1151923a6595f331a5ce34a83c51d2f88da4ee3c62ced9fa65c6dbffb09b
size 472854
=======
timestamp,rpic,asmfish_1,asmfish_2,asmfish_3,asmfish_4,asmfish_5,sysbench_cpu,voltage_1,power_factor_1,active_power_1,current_1,voltage_2,power_factor_2,active_power_2,current_2,voltage_3,power_factor_3,active_power_3,current_3,voltage_4,power_factor_4,active_power_4,current_4,voltage_5,power_factor_5,active_power_5,current_5,voltage_6,power_factor_6,active_power_6,current_6
1634146188.0,0,0.0,0.0,0.0,0.0,0.0,0.0,229.04,0.844,29.0,0.15,228.28,0.78,55.0,0.307,229.16,0.843,29.0,0.151,228.11,0.844,30.0,0.155,229.11,0.848,28.0,0.146,228.26,0.772,27.0,0.158
1634146189.0,0,0.0,0.0,0.0,0.0,0.0,0.0,229.04,0.844,29.0,0.15,228.28,0.78,55.0,0.307,229.16,0.843,29.0,0.151,228.11,0.844,30.0,0.155,229.11,0.848,28.0,0.146,228.26,0.772,27.0,0.158
1634146190.0,0,0.0,0.0,0.0,0.0,0.0,0.0,229.04,0.844,29.0,0.15,228.28,0.78,55.0,0.307,229.16,0.843,29.0,0.151,228.11,0.844,30.0,0.155,229.11,0.848,28.0,0.146,228.26,0.772,27.0,0.158
1634146191.0,0,0.0,0.0,0.0,0.0,0.0,0.0,229.04,0.844,29.0,0.15,228.28,0.78,55.0,0.307,229.16,0.843,29.0,0.151,228.11,0.844,30.0,0.155,229.11,0.848,28.0,0.146,228.26,0.772,27.0,0.158
1634146231.0,0,0.0,0.0,0.0,0.0,0.0,0.0,229.04,0.842,29.0,0.15,228.31,0.839,36.0,0.187,229.16,0.844,29.0,0.15,228.41,0.842,30.0,0.155,229.12,0.848,28.0,0.146,228.27,0.782,28.0,0.16
1634146572.0,0,0.0,0.0,0.0,0.0,0.0,403.03,228.88,0.842,31.0,0.162,227.97,0.78,55.0,0.305,228.64,0.793,50.0,0.281,228.25,0.784,52.0,0.288,229.12,0.844,28.0,0.145,228.3,0.794,56.0,0.309
1634146573.0,0,0.0,0.0,0.0,0.0,0.0,397.06,228.88,0.842,31.0,0.162,227.97,0.78,55.0,0.305,228.64,0.793,50.0,0.281,228.25,0.784,52.0,0.288,229.12,0.844,28.0,0.145,228.3,0.794,56.0,0.309
1634146575.0,0,0.0,0.0,0.0,0.0,0.0,397.06,228.88,0.842,31.0,0.162,227.97,0.78,55.0,0.305,228.64,0.793,50.0,0.281,228.25,0.784,52.0,0.288,229.12,0.844,28.0,0.145,228.3,0.794,56.0,0.309
1634146576.0,0,0.0,0.0,0.0,0.0,0.0,397.06,228.88,0.842,31.0,0.162,227.97,0.78,55.0,0.305,228.64,0.793,50.0,0.281,228.25,0.784,52.0,0.288,229.12,0.844,28.0,0.145,228.3,0.794,56.0,0.309
1634146578.0,0,0.0,0.0,0.0,0.0,0.0,403.03,228.88,0.842,31.0,0.162,227.97,0.78,55.0,0.305,228.64,0.793,50.0,0.281,228.25,0.784,52.0,0.288,229.12,0.844,28.0,0.145,228.3,0.794,56.0,0.309
1634146579.0,0,0.0,0.0,0.0,0.0,0.0,0.0,228.88,0.842,31.0,0.162,227.97,0.78,55.0,0.305,228.64,0.793,50.0,0.281,228.25,0.784,52.0,0.288,229.12,0.844,28.0,0.145,228.3,0.794,56.0,0.309
1634146581.0,0,0.0,0.0,0.0,0.0,0.0,0.0,228.88,0.842,31.0,0.162,227.97,0.78,55.0,0.305,228.64,0.793,50.0,0.281,228.25,0.784,52.0,0.288,229.12,0.844,28.0,0.145,228.3,0.794,56.0,0.309
1634146581.0,0,0.0,0.0,0.0,0.0,0.0,0.0,228.88,0.842,31.0,0.162,227.97,0.78,55.0,0.305,228.64,0.793,50.0,0.281,228.25,0.784,52.0,0.288,229.12,0.844,28.0,0.145,228.3,0.794,56.0,0.309
1634146621.0,0,0.0,0.0,0.0,0.0,0.0,394.12,228.86,0.794,50.0,0.275,228.21,0.847,33.0,0.166,228.75,0.795,51.0,0.28,228.2,0.784,52.0,0.289,228.94,0.845,28.0,0.145,228.16,0.797,56.0,0.31
1634146623.0,0,0.0,0.0,0.0,0.0,0.0,406.06,228.86,0.794,50.0,0.275,228.21,0.847,33.0,0.166,228.75,0.795,51.0,0.28,228.2,0.784,52.0,0.289,228.94,0.845,28.0,0.145,228.16,0.797,56.0,0.31
1634146624.0,0,0.0,0.0,0.0,0.0,0.0,403.03,228.86,0.794,50.0,0.275,228.21,0.847,33.0,0.166,228.75,0.795,51.0,0.28,228.2,0.784,52.0,0.289,228.94,0.845,28.0,0.145,228.16,0.797,56.0,0.31
1634146626.0,0,0.0,0.0,0.0,0.0,0.0,397.06,228.86,0.794,50.0,0.275,228.21,0.847,33.0,0.166,228.75,0.795,51.0,0.28,228.2,0.784,52.0,0.289,228.94,0.845,28.0,0.145,228.16,0.797,56.0,0.31
1634146628.0,0,0.0,0.0,0.0,0.0,0.0,406.06,228.86,0.794,50.0,0.275,228.21,0.847,33.0,0.166,228.75,0.795,51.0,0.28,228.2,0.784,52.0,0.289,228.94,0.845,28.0,0.145,228.16,0.797,56.0,0.31
1634146629.0,0,0.0,0.0,0.0,0.0,0.0,403.03,228.86,0.794,50.0,0.275,228.21,0.847,33.0,0.166,228.75,0.795,51.0,0.28,228.2,0.784,52.0,0.289,228.94,0.845,28.0,0.145,228.16,0.797,56.0,0.31
1634146631.0,0,0.0,0.0,0.0,0.0,0.0,403.03,228.86,0.794,50.0,0.275,228.21,0.847,33.0,0.166,228.75,0.795,51.0,0.28,228.2,0.784,52.0,0.289,228.94,0.845,28.0,0.145,228.16,0.797,56.0,0.31
1634146632.0,0,0.0,0.0,0.0,0.0,0.0,406.06,228.68,0.794,50.0,0.276,228.04,0.843,32.0,0.162,228.66,0.793,51.0,0.282,227.97,0.786,52.0,0.287,228.75,0.845,28.0,0.145,228.02,0.796,56.0,0.311
1634146634.0,0,0.0,0.0,0.0,0.0,0.0,406.06,228.68,0.794,50.0,0.276,228.04,0.843,32.0,0.162,228.66,0.793,51.0,0.282,227.97,0.786,52.0,0.287,228.75,0.845,28.0,0.145,228.02,0.796,56.0,0.311
1634146635.0,0,0.0,0.0,0.0,0.0,0.0,406.06,228.68,0.794,50.0,0.276,228.04,0.843,32.0,0.162,228.66,0.793,51.0,0.282,227.97,0.786,52.0,0.287,228.75,0.845,28.0,0.145,228.02,0.796,56.0,0.311
1634146637.0,0,0.0,0.0,0.0,0.0,0.0,406.06,228.68,0.794,50.0,0.276,228.04,0.843,32.0,0.162,228.66,0.793,51.0,0.282,227.97,0.786,52.0,0.287,228.75,0.845,28.0,0.145,228.02,0.796,56.0,0.311
1634146638.0,0,0.0,0.0,0.0,0.0,0.0,406.06,228.68,0.794,50.0,0.276,228.04,0.843,32.0,0.162,228.66,0.793,51.0,0.282,227.97,0.786,52.0,0.287,228.75,0.845,28.0,0.145,228.02,0.796,56.0,0.311
1634146640.0,0,0.0,0.0,0.0,0.0,0.0,403.03,228.68,0.794,50.0,0.276,228.04,0.843,32.0,0.162,228.66,0.793,51.0,0.282,227.97,0.786,52.0,0.287,228.75,0.845,28.0,0.145,228.02,0.796,56.0,0.311
1634146641.0,0,0.0,0.0,0.0,0.0,0.0,397.06,228.68,0.794,50.0,0.276,228.04,0.843,32.0,0.162,228.66,0.793,51.0,0.282,227.97,0.786,52.0,0.287,228.75,0.845,28.0,0.145,228.02,0.796,56.0,0.311
1634146643.0,0,0.0,0.0,0.0,0.0,0.0,403.03,228.68,0.794,50.0,0.276,228.04,0.843,32.0,0.162,228.66,0.793,51.0,0.282,227.97,0.786,52.0,0.287,228.75,0.845,28.0,0.145,228.02,0.796,56.0,0.311
1634146645.0,0,0.0,0.0,0.0,0.0,0.0,406.06,228.68,0.794,50.0,0.276,228.04,0.843,32.0,0.162,228.66,0.793,51.0,0.282,227.97,0.786,52.0,0.287,228.75,0.845,28.0,0.145,228.02,0.796,56.0,0.311
1634146646.0,0,0.0,0.0,0.0,0.0,0.0,406.06,228.68,0.794,50.0,0.276,228.04,0.843,32.0,0.162,228.66,0.793,51.0,0.282,227.97,0.786,52.0,0.287,228.75,0.845,28.0,0.145,228.02,0.796,56.0,0.311
